customer_id,segment,action_rank,action_id,action_name,base_cost,predicted_reward,uncertainty_score,explore_score,ucb_score,confidence_score,n_pulls
1,Loyal,1,3,product_recommendation,0.3,27.074,0.003,0.0274,27.1014,0.9992,2343
1,Loyal,2,2,free_shipping,4.99,19.845,0.0237,0.077,19.9219,0.0008,401
1,Loyal,3,1,discount_10,6.5,6.8834,0.1652,0.2032,7.0866,0.0,11
1,Loyal,4,4,bundle_offer,9.0,5.9543,0.008,0.0447,5.999,0.0,2231
1,Loyal,5,0,no_action,0.0,4.9062,0.2207,0.2349,5.1411,0.0,14
2,Loyal,1,4,bundle_offer,9.0,14.4587,0.0011,0.0169,14.4756,0.8952,2231
2,Loyal,2,2,free_shipping,4.99,12.2292,0.005,0.0355,12.2647,0.0981,401
2,Loyal,3,3,product_recommendation,0.3,9.4929,0.0024,0.0244,9.5173,0.0063,2343
2,Loyal,4,1,discount_10,6.5,6.667,0.0602,0.1227,6.7896,0.0004,11
2,Loyal,5,0,no_action,0.0,1.8715,0.0613,0.1238,1.9953,0.0,14
3,Lost,1,4,bundle_offer,9.0,34.784,0.0029,0.0268,34.8108,1.0,2231
3,Lost,2,3,product_recommendation,0.3,17.066,0.0082,0.0453,17.1113,0.0,2343
3,Lost,3,2,free_shipping,4.99,13.7612,0.0246,0.0785,13.8396,0.0,401
3,Lost,4,1,discount_10,6.5,7.4139,0.1779,0.2109,7.6247,0.0,11
3,Lost,5,0,no_action,0.0,-4.0333,0.2608,0.2553,-3.778,0.0,14
4,Lost,1,4,bundle_offer,9.0,31.2933,0.0015,0.0192,31.3125,1.0,2231
4,Lost,2,2,free_shipping,4.99,14.037,0.0172,0.0656,14.1026,0.0,401
4,Lost,3,3,product_recommendation,0.3,13.6251,0.006,0.0387,13.6638,0.0,2343
4,Lost,4,1,discount_10,6.5,9.6492,0.1316,0.1814,9.8306,0.0,11
4,Lost,5,0,no_action,0.0,2.1317,0.142,0.1884,2.3201,0.0,14
5,Champion,1,4,bundle_offer,9.0,33.0871,0.0011,0.0168,33.1039,1.0,2231
5,Champion,2,3,product_recommendation,0.3,22.0995,0.0022,0.0234,22.1229,0.0,2343
5,Champion,3,2,free_shipping,4.99,12.9105,0.0193,0.0695,12.98,0.0,401
5,Champion,4,1,discount_10,6.5,10.3324,0.1167,0.1708,10.5032,0.0,11
5,Champion,5,0,no_action,0.0,3.2022,0.1305,0.1806,3.3828,0.0,14
6,Champion,1,3,product_recommendation,0.3,36.9727,0.0014,0.0186,36.9913,0.6055,2343
6,Champion,2,4,bundle_offer,9.0,36.5391,0.0023,0.024,36.563,0.3945,2231
6,Champion,3,2,free_shipping,4.99,17.5165,0.0361,0.095,17.6115,0.0,401
6,Champion,4,1,discount_10,6.5,11.226,0.1542,0.1963,11.4224,0.0,11
6,Champion,5,0,no_action,0.0,3.997,0.2087,0.2284,4.2254,0.0,14
7,Loyal,1,4,bundle_offer,9.0,25.5874,0.0012,0.0173,25.6048,0.9977,2231
7,Loyal,2,3,product_recommendation,0.3,19.5013,0.0018,0.0214,19.5226,0.0023,2343
7,Loyal,3,2,free_shipping,4.99,15.9819,0.0136,0.0582,16.0401,0.0001,401
7,Loyal,4,1,discount_10,6.5,9.2884,0.0925,0.1521,9.4405,0.0,11
7,Loyal,5,0,no_action,0.0,0.5061,0.1279,0.1788,0.6849,0.0,14
8,Champion,1,4,bundle_offer,9.0,36.8555,0.0044,0.033,36.8885,0.9999,2231
8,Champion,2,3,product_recommendation,0.3,27.1695,0.0051,0.0357,27.2052,0.0001,2343
8,Champion,3,2,free_shipping,4.99,16.9006,0.0366,0.0957,16.9963,0.0,401
8,Champion,4,1,discount_10,6.5,10.6751,0.2016,0.2245,10.8995,0.0,11
8,Champion,5,0,no_action,0.0,3.4567,0.2071,0.2275,3.6843,0.0,14
9,Loyal,1,4,bundle_offer,9.0,30.0193,0.0012,0.0176,30.0369,0.9996,2231
9,Loyal,2,3,product_recommendation,0.3,22.0623,0.0018,0.0214,22.0837,0.0004,2343
9,Loyal,3,2,free_shipping,4.99,14.1149,0.0155,0.0622,14.1771,0.0,401
9,Loyal,4,1,discount_10,6.5,8.3511,0.0958,0.1548,8.5059,0.0,11
9,Loyal,5,0,no_action,0.0,-0.619,0.1334,0.1826,-0.4364,0.0,14
10,Loyal,1,3,product_recommendation,0.3,27.0434,0.0011,0.0163,27.0597,0.9998,2343
10,Loyal,2,2,free_shipping,4.99,18.078,0.0176,0.0664,18.1444,0.0001,401
10,Loyal,3,4,bundle_offer,9.0,17.3509,0.0041,0.0321,17.3831,0.0001,2231
10,Loyal,4,1,discount_10,6.5,7.6487,0.1185,0.1721,7.8208,0.0,11
10,Loyal,5,0,no_action,0.0,2.1697,0.1646,0.2029,2.3726,0.0,14
11,At-Risk,1,4,bundle_offer,9.0,13.0366,0.0016,0.0201,13.0568,0.9707,2231
11,At-Risk,2,2,free_shipping,4.99,9.5075,0.0079,0.0445,9.552,0.0292,401
