interaction_id,round_number,customer_id,action_id,converted,revenue,cost,reward,p_convert,exploit_score,explore_score,ucb_score,simulation_id
1,1,331,2,False,0.0,0.1,-0.1,0.2911,0.0,0.5791,0.5791,synthetic_seed42_cust500_rounds5000
2,2,248,0,False,0.0,0.0,0.0,0.1037,0.0,0.3571,0.3571,synthetic_seed42_cust500_rounds5000
3,3,72,4,False,0.0,0.2,-0.2,0.2238,0.0,0.498,0.498,synthetic_seed42_cust500_rounds5000
4,4,400,1,True,97.32,9.73,87.58,0.2357,0.0,0.6895,0.6895,synthetic_seed42_cust500_rounds5000
5,5,107,3,False,0.0,0.3,-0.3,0.3184,0.0,0.6265,0.6265,synthetic_seed42_cust500_rounds5000
6,6,37,2,True,90.28,4.99,85.29,0.1026,-0.0634,0.4773,0.4139,synthetic_seed42_cust500_rounds5000
7,7,375,4,True,159.43,9.0,150.43,0.4961,-0.1296,0.5288,0.3992,synthetic_seed42_cust500_rounds5000
8,8,300,3,False,0.0,0.3,-0.3,0.1782,-0.1499,0.3852,0.2352,synthetic_seed42_cust500_rounds5000
9,9,197,1,False,0.0,0.1,-0.1,0.2105,43.4439,0.3793,43.8232,synthetic_seed42_cust500_rounds5000
10,10,345,0,False,0.0,0.0,0.0,0.2222,0.0,0.5124,0.5124,synthetic_seed42_cust500_rounds5000
11,11,451,1,False,0.0,0.1,-0.1,0.3144,38.8151,0.5752,39.3904,synthetic_seed42_cust500_rounds5000
12,12,18,3,False,0.0,0.3,-0.3,0.1002,-0.1205,0.2981,0.1775,synthetic_seed42_cust500_rounds5000
13,13,309,2,True,79.0,4.99,74.01,0.1402,28.1338,0.3304,28.4642,synthetic_seed42_cust500_rounds5000
14,14,108,4,False,0.0,0.2,-0.2,0.2935,67.3342,0.3909,67.7251,synthetic_seed42_cust500_rounds5000
15,15,236,0,False,0.0,0.0,0.0,0.264,0.0,0.3612,0.3612,synthetic_seed42_cust500_rounds5000
16,16,211,1,False,0.0,0.1,-0.1,0.367,18.4849,0.2172,18.7021,synthetic_seed42_cust500_rounds5000
17,17,196,2,False,0.0,0.1,-0.1,0.3145,42.6828,0.4037,43.0865,synthetic_seed42_cust500_rounds5000
18,18,96,3,False,0.0,0.3,-0.3,0.2872,-0.241,0.3348,0.0938,synthetic_seed42_cust500_rounds5000
19,19,399,0,False,0.0,0.0,0.0,0.1353,0.0,0.368,0.368,synthetic_seed42_cust500_rounds5000
20,20,191,4,False,0.0,0.2,-0.2,0.4087,54.0268,0.3024,54.3292,synthetic_seed42_cust500_rounds5000
21,21,437,3,True,76.0,0.3,75.7,0.3554,-0.2542,0.3276,0.0733,synthetic_seed42_cust500_rounds5000
22,22,177,2,False,0.0,0.1,-0.1,0.2617,39.4814,0.3144,39.7958,synthetic_seed42_cust500_rounds5000
23,23,415,1,False,0.0,0.1,-0.1,0.1593,25.5766,0.2505,25.8271,synthetic_seed42_cust500_rounds5000
24,24,270,0,False,0.0,0.0,0.0,0.3936,0.0,0.3323,0.3323,synthetic_seed42_cust500_rounds5000
25,25,193,4,False,0.0,0.2,-0.2,0.2667,36.6905,0.3237,37.0141,synthetic_seed42_cust500_rounds5000
26,26,350,0,False,0.0,0.0,0.0,0.1053,0.0,0.2252,0.2252,synthetic_seed42_cust500_rounds5000
27,27,392,2,False,0.0,0.1,-0.1,0.1787,26.7994,0.2225,27.0218,synthetic_seed42_cust500_rounds5000
28,28,240,3,False,0.0,0.3,-0.3,0.2531,10.2504,0.2465,10.4969,synthetic_seed42_cust500_rounds5000
29,29,212,4,False,0.0,0.2,-0.2,0.147,19.12,0.231,19.351,synthetic_seed42_cust500_rounds5000
30,30,285,1,False,0.0,0.1,-0.1,0.1017,20.1593,0.3002,20.4595,synthetic_seed42_cust500_rounds5000
31,31,289,0,False,0.0,0.0,0.0,0.2412,0.0,0.2378,0.2378,synthetic_seed42_cust500_rounds5000
32,32,212,2,False,0.0,0.1,-0.1,0.2445,11.4869,0.2431,11.73,synthetic_seed42_cust500_rounds5000
33,33,378,4,False,0.0,0.2,-0.2,0.3298,27.2585,0.2192,27.4778,synthetic_seed42_cust500_rounds5000
34,34,199,3,False,0.0,0.3,-0.3,0.1357,7.2549,0.2402,7.4952,synthetic_seed42_cust500_rounds5000
